lang,epoch,F1,precision,recall,accuracy
por,13,0.876,0.881,0.872,0.985
por,14,0.866,0.863,0.868,0.984
por,15,0.871,0.873,0.870,0.985
por,16,0.876,0.874,0.879,0.985
por,17,0.865,0.860,0.870,0.984
por,18,0.871,0.870,0.872,0.985
por,19,0.868,0.865,0.872,0.984
por,20,0.870,0.868,0.872,0.985
ger,1,0.723,0.686,0.765,0.966
ger,2,0.749,0.772,0.728,0.970
ger,3,0.754,0.759,0.749,0.972
ger,4,0.738,0.709,0.768,0.969
ger,5,0.766,0.754,0.778,0.971
ger,6,0.780,0.751,0.811,0.973
ger,7,0.770,0.767,0.773,0.971
ger,8,0.762,0.741,0.785,0.969
ger,9,0.771,0.762,0.781,0.972
ger,10,0.769,0.761,0.778,0.971
ger,11,0.767,0.752,0.783,0.971
ger,12,0.778,0.755,0.801,0.972
ger,13,0.784,0.764,0.804,0.973
ger,14,0.749,0.733,0.765,0.969
ger,15,0.779,0.759,0.801,0.972
ger,16,0.779,0.746,0.816,0.971
ger,17,0.780,0.753,0.809,0.972
ger,18,0.775,0.752,0.799,0.971
ger,19,0.775,0.753,0.799,0.971
ger,20,0.776,0.754,0.799,0.971
chi,1,0.737,0.679,0.806,0.961
chi,2,0.785,0.764,0.808,0.970
chi,3,0.759,0.715,0.808,0.966
chi,4,0.728,0.678,0.784,0.959
chi,5,0.739,0.689,0.796,0.965
chi,6,0.726,0.675,0.786,0.963
chi,7,0.746,0.702,0.796,0.965
chi,8,0.748,0.692,0.815,0.962
chi,9,0.715,0.670,0.766,0.963
chi,10,0.732,0.678,0.796,0.963
chi,11,0.735,0.683,0.795,0.964
chi,12,0.732,0.682,0.791,0.964
chi,13,0.739,0.692,0.792,0.965
chi,14,0.725,0.674,0.783,0.962
chi,15,0.719,0.672,0.774,0.963
chi,16,0.732,0.675,0.799,0.963
chi,17,0.729,0.675,0.794,0.963
chi,18,0.733,0.676,0.799,0.964
chi,19,0.733,0.676,0.800,0.964
chi,20,0.735,0.680,0.799,0.965
hrv,1,0.859,0.884,0.836,0.983
hrv,2,0.866,0.908,0.827,0.983
hrv,3,0.879,0.918,0.844,0.985
