lang,epoch,F1,precision,recall,accuracy
ger,13,0.822,0.801,0.845,0.975
ger,14,0.807,0.783,0.834,0.974
ger,15,0.807,0.778,0.837,0.974
ger,16,0.812,0.785,0.840,0.974
ger,17,0.812,0.780,0.847,0.974
ger,18,0.807,0.776,0.840,0.974
ger,19,0.811,0.786,0.838,0.975
ger,20,0.811,0.786,0.838,0.974
chi,1,0.780,0.729,0.839,0.969
chi,2,0.766,0.706,0.837,0.968
chi,3,0.777,0.746,0.811,0.970
chi,4,0.771,0.734,0.812,0.971
chi,5,0.760,0.710,0.817,0.968
chi,6,0.770,0.716,0.832,0.970
chi,7,0.772,0.722,0.831,0.963
chi,8,0.758,0.711,0.812,0.969
chi,9,0.753,0.700,0.816,0.967
chi,10,0.748,0.691,0.815,0.966
chi,11,0.746,0.686,0.817,0.966
chi,12,0.745,0.693,0.804,0.965
chi,13,0.762,0.714,0.817,0.968
chi,14,0.749,0.697,0.810,0.967
chi,15,0.751,0.690,0.823,0.965
chi,16,0.748,0.682,0.828,0.964
chi,17,0.742,0.672,0.829,0.963
chi,18,0.741,0.671,0.827,0.963
chi,19,0.748,0.683,0.825,0.964
chi,20,0.753,0.687,0.832,0.964
hrv,1,0.853,0.863,0.844,0.980
hrv,2,0.878,0.895,0.862,0.984
hrv,3,0.880,0.904,0.858,0.985
hrv,4,0.869,0.896,0.844,0.983
hrv,5,0.862,0.876,0.848,0.981
hrv,6,0.862,0.889,0.836,0.983
hrv,7,0.864,0.881,0.848,0.981
hrv,8,0.870,0.895,0.846,0.983
hrv,9,0.850,0.865,0.836,0.981
hrv,10,0.854,0.879,0.831,0.981
hrv,11,0.853,0.872,0.835,0.981
hrv,12,0.861,0.886,0.837,0.982
hrv,13,0.866,0.895,0.840,0.983
hrv,14,0.861,0.891,0.833,0.982
hrv,15,0.857,0.885,0.831,0.982
hrv,16,0.863,0.891,0.837,0.982
hrv,17,0.861,0.881,0.841,0.982
hrv,18,0.857,0.878,0.836,0.981
hrv,19,0.859,0.884,0.836,0.982
hrv,20,0.861,0.887,0.836,0.981
srb,1,0.865,0.877,0.853,0.977
srb,2,0.875,0.895,0.856,0.979
srb,3,0.880,0.908,0.855,0.980
srb,4,0.879,0.912,0.849,0.979
srb,5,0.871,0.888,0.855,0.978
srb,6,0.878,0.910,0.847,0.980
srb,7,0.874,0.890,0.858,0.978
srb,8,0.882,0.909,0.856,0.980
srb,9,0.865,0.881,0.849,0.977
srb,10,0.867,0.890,0.845,0.978
srb,11,0.870,0.892,0.849,0.978
srb,12,0.876,0.907,0.847,0.980
srb,13,0.871,0.900,0.844,0.979
srb,14,0.870,0.903,0.840,0.979
srb,15,0.866,0.892,0.841,0.979
srb,16,0.869,0.895,0.845,0.978
srb,17,0.861,0.881,0.842,0.977
srb,18,0.864,0.885,0.843,0.978
srb,19,0.869,0.895,0.845,0.979
srb,20,0.866,0.890,0.843,0.978
dan,1,0.799,0.765,0.836,0.983
dan,2,0.804,0.761,0.852,0.984
dan,3,0.823,0.814,0.831,0.984
dan,4,0.791,0.787,0.795,0.983
dan,5,0.798,0.775,0.823,0.983
dan,6,0.826,0.807,0.847,0.985
dan,7,0.816,0.789,0.844,0.984
dan,8,0.802,0.779,0.826,0.983
dan,9,0.794,0.757,0.834,0.982
dan,10,0.803,0.783,0.823,0.983
dan,11,0.794,0.772,0.818,0.984
dan,12,0.802,0.781,0.823,0.983
dan,13,0.810,0.795,0.826,0.983
dan,14,0.801,0.782,0.821,0.983
dan,15,0.813,0.793,0.834,0.984
dan,16,0.813,0.788,0.839,0.983
dan,17,0.797,0.769,0.829,0.983
dan,18,0.801,0.773,0.831,0.983
dan,19,0.807,0.786,0.829,0.983
dan,20,0.810,0.787,0.834,0.984
