test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
rom,13,0.581,0.624,0.544,0.969,chi,3
rom,14,0.587,0.629,0.55,0.969,chi,3
rom,15,0.588,0.628,0.554,0.969,chi,3
por,1,0.816,0.822,0.811,0.979,chi,3
por,2,0.819,0.834,0.804,0.979,chi,3
por,3,0.831,0.853,0.809,0.98,chi,3
por,4,0.825,0.853,0.798,0.98,chi,3
por,5,0.831,0.855,0.809,0.979,chi,3
por,6,0.828,0.858,0.8,0.979,chi,3
por,7,0.832,0.856,0.809,0.98,chi,3
por,8,0.838,0.865,0.813,0.98,chi,3
por,9,0.839,0.862,0.817,0.981,chi,3
por,10,0.827,0.852,0.804,0.979,chi,3
por,11,0.827,0.863,0.794,0.979,chi,3
por,12,0.832,0.864,0.802,0.979,chi,3
por,13,0.833,0.877,0.794,0.979,chi,3
por,14,0.833,0.872,0.798,0.979,chi,3
por,15,0.836,0.869,0.806,0.979,chi,3
ger,1,0.798,0.781,0.817,0.977,chi,1
ger,2,0.806,0.803,0.809,0.979,chi,1
ger,3,0.805,0.811,0.8,0.979,chi,1
ger,4,0.801,0.812,0.79,0.978,chi,1
ger,5,0.816,0.825,0.807,0.979,chi,1
ger,6,0.8,0.823,0.778,0.978,chi,1
ger,7,0.804,0.823,0.786,0.977,chi,1
ger,8,0.809,0.821,0.798,0.978,chi,1
ger,9,0.807,0.818,0.796,0.978,chi,1
ger,10,0.808,0.822,0.794,0.978,chi,1
ger,11,0.808,0.825,0.792,0.978,chi,1
ger,12,0.81,0.832,0.79,0.979,chi,1
ger,13,0.798,0.822,0.775,0.978,chi,1
ger,14,0.805,0.829,0.782,0.978,chi,1
ger,15,0.809,0.83,0.79,0.978,chi,1
chi,1,0.779,0.744,0.817,0.969,chi,5
chi,2,0.799,0.775,0.824,0.974,chi,5
chi,3,0.819,0.797,0.843,0.974,chi,5
chi,4,0.838,0.823,0.854,0.978,chi,5
chi,5,0.84,0.817,0.864,0.979,chi,5
chi,6,0.836,0.827,0.845,0.979,chi,5
chi,7,0.84,0.824,0.857,0.979,chi,5
chi,8,0.84,0.819,0.862,0.977,chi,5
chi,9,0.843,0.819,0.868,0.979,chi,5
chi,10,0.849,0.83,0.868,0.979,chi,5
chi,11,0.847,0.829,0.866,0.98,chi,5
chi,12,0.851,0.833,0.87,0.98,chi,5
chi,13,0.858,0.843,0.873,0.981,chi,5
chi,14,0.846,0.825,0.868,0.98,chi,5
chi,15,0.848,0.825,0.872,0.98,chi,5
hrv,1,0.875,0.843,0.909,0.986,chi,2
hrv,2,0.895,0.87,0.922,0.988,chi,2
hrv,3,0.899,0.884,0.915,0.988,chi,2
hrv,4,0.891,0.868,0.915,0.987,chi,2
hrv,5,0.893,0.872,0.915,0.987,chi,2
hrv,6,0.902,0.889,0.915,0.988,chi,2
hrv,7,0.892,0.877,0.908,0.988,chi,2
hrv,8,0.89,0.873,0.908,0.987,chi,2
hrv,9,0.896,0.879,0.912,0.987,chi,2
hrv,10,0.884,0.866,0.903,0.987,chi,2
hrv,11,0.889,0.87,0.909,0.988,chi,2
hrv,12,0.892,0.876,0.908,0.987,chi,2
hrv,13,0.888,0.874,0.903,0.987,chi,2
hrv,14,0.887,0.87,0.905,0.987,chi,2
hrv,15,0.883,0.865,0.901,0.987,chi,2
srb,1,0.877,0.858,0.897,0.983,chi,2
srb,2,0.888,0.881,0.896,0.985,chi,2
srb,3,0.888,0.881,0.895,0.985,chi,2
srb,4,0.884,0.879,0.89,0.984,chi,2
srb,5,0.888,0.885,0.891,0.985,chi,2
srb,6,0.891,0.893,0.889,0.985,chi,2
srb,7,0.891,0.892,0.89,0.985,chi,2
srb,8,0.885,0.885,0.885,0.983,chi,2
srb,9,0.882,0.879,0.885,0.984,chi,2
srb,10,0.881,0.88,0.881,0.984,chi,2
srb,11,0.88,0.881,0.879,0.983,chi,2
srb,12,0.879,0.883,0.875,0.983,chi,2
srb,13,0.88,0.887,0.874,0.983,chi,2
srb,14,0.882,0.884,0.88,0.983,chi,2
srb,15,0.881,0.882,0.88,0.984,chi,2
dan,1,0.829,0.832,0.826,0.987,chi,1
dan,2,0.826,0.837,0.816,0.988,chi,1
dan,3,0.831,0.851,0.813,0.987,chi,1
dan,4,0.843,0.872,0.816,0.988,chi,1
dan,5,0.838,0.858,0.818,0.988,chi,1
dan,6,0.837,0.862,0.813,0.988,chi,1
dan,7,0.832,0.853,0.813,0.988,chi,1
dan,8,0.835,0.856,0.816,0.988,chi,1
dan,9,0.84,0.857,0.823,0.988,chi,1
dan,10,0.835,0.858,0.813,0.988,chi,1
dan,11,0.825,0.849,0.803,0.987,chi,1
dan,12,0.828,0.852,0.805,0.988,chi,1
dan,13,0.828,0.858,0.8,0.988,chi,1
dan,14,0.827,0.849,0.805,0.988,chi,1
dan,15,0.826,0.847,0.805,0.988,chi,1
slk,1,0.785,0.788,0.783,0.973,dan,2
slk,2,0.783,0.763,0.803,0.974,dan,2
slk,3,0.794,0.785,0.803,0.975,dan,2
slk,4,0.755,0.744,0.767,0.971,dan,2
slk,5,0.798,0.806,0.789,0.973,dan,2
slk,6,0.781,0.805,0.757,0.971,dan,2
slk,7,0.794,0.811,0.778,0.973,dan,2
slk,8,0.799,0.794,0.803,0.974,dan,2
slk,9,0.786,0.804,0.769,0.972,dan,2
slk,10,0.783,0.787,0.778,0.972,dan,2
slk,11,0.798,0.806,0.789,0.973,dan,2
slk,12,0.795,0.8,0.789,0.973,dan,2
slk,13,0.795,0.799,0.792,0.973,dan,2
slk,14,0.791,0.79,0.792,0.972,dan,2
slk,15,0.795,0.799,0.792,0.973,dan,2
eng,1,0.696,0.705,0.687,0.966,dan,1
eng,2,0.727,0.7,0.755,0.966,dan,1
eng,3,0.723,0.719,0.727,0.968,dan,1
eng,4,0.716,0.702,0.73,0.968,dan,1
eng,5,0.717,0.723,0.712,0.968,dan,1
eng,6,0.704,0.751,0.662,0.968,dan,1
eng,7,0.701,0.711,0.691,0.967,dan,1
eng,8,0.727,0.735,0.719,0.969,dan,1
eng,9,0.704,0.715,0.694,0.968,dan,1
eng,10,0.71,0.72,0.701,0.969,dan,1
eng,11,0.71,0.715,0.705,0.968,dan,1
eng,12,0.699,0.708,0.691,0.968,dan,1
eng,13,0.713,0.721,0.705,0.968,dan,1
eng,14,0.718,0.721,0.716,0.969,dan,1
eng,15,0.716,0.724,0.709,0.968,dan,1
swe,1,0.846,0.843,0.848,0.992,dan,1
swe,2,0.841,0.835,0.848,0.992,dan,1
swe,3,0.86,0.862,0.858,0.992,dan,1
swe,4,0.84,0.842,0.838,0.992,dan,1
swe,5,0.866,0.88,0.853,0.992,dan,1
swe,6,0.88,0.904,0.858,0.992,dan,1
swe,7,0.865,0.888,0.843,0.992,dan,1
swe,8,0.864,0.875,0.853,0.992,dan,1
swe,9,0.86,0.878,0.843,0.991,dan,1
swe,10,0.855,0.873,0.838,0.991,dan,1
swe,11,0.859,0.87,0.848,0.991,dan,1
swe,12,0.853,0.868,0.838,0.991,dan,1
swe,13,0.856,0.869,0.843,0.991,dan,1
swe,14,0.859,0.87,0.848,0.991,dan,1
swe,15,0.856,0.869,0.843,0.991,dan,1
nor,1,0.864,0.843,0.885,0.989,dan,1
nor,2,0.846,0.808,0.889,0.989,dan,1
nor,3,0.86,0.832,0.889,0.99,dan,1
nor,4,0.862,0.833,0.892,0.989,dan,1
nor,5,0.852,0.828,0.878,0.989,dan,1
nor,6,0.861,0.858,0.864,0.989,dan,1
nor,7,0.862,0.85,0.875,0.989,dan,1
nor,8,0.849,0.824,0.875,0.99,dan,1
nor,9,0.872,0.853,0.892,0.989,dan,1
nor,10,0.873,0.848,0.9,0.99,dan,1
nor,11,0.873,0.85,0.896,0.989,dan,1
nor,12,0.867,0.846,0.889,0.989,dan,1
nor,13,0.865,0.846,0.885,0.989,dan,1
nor,14,0.871,0.847,0.896,0.99,dan,1
nor,15,0.874,0.853,0.896,0.99,dan,1
heb,1,0.545,0.535,0.556,0.96,dan,4
heb,2,0.572,0.529,0.622,0.958,dan,4
heb,3,0.57,0.529,0.617,0.957,dan,4
heb,4,0.543,0.52,0.569,0.959,dan,4
heb,5,0.548,0.531,0.567,0.957,dan,4
heb,6,0.569,0.573,0.565,0.959,dan,4
