lang,epoch,F1,precision,recall,accuracy
srb,2,0.888,0.881,0.896,0.985
srb,3,0.888,0.881,0.895,0.985
srb,4,0.884,0.879,0.890,0.984
srb,5,0.888,0.885,0.891,0.985
srb,6,0.891,0.893,0.889,0.985
srb,7,0.891,0.892,0.890,0.985
srb,8,0.885,0.885,0.885,0.983
srb,9,0.882,0.879,0.885,0.984
srb,10,0.881,0.880,0.881,0.984
srb,11,0.880,0.881,0.879,0.983
srb,12,0.879,0.883,0.875,0.983
srb,13,0.880,0.887,0.874,0.983
srb,14,0.882,0.884,0.880,0.983
srb,15,0.881,0.882,0.880,0.984
dan,1,0.829,0.832,0.826,0.987
dan,2,0.826,0.837,0.816,0.988
dan,3,0.831,0.851,0.813,0.987
dan,4,0.843,0.872,0.816,0.988
dan,5,0.838,0.858,0.818,0.988
dan,6,0.837,0.862,0.813,0.988
dan,7,0.832,0.853,0.813,0.988
dan,8,0.835,0.856,0.816,0.988
dan,9,0.840,0.857,0.823,0.988
dan,10,0.835,0.858,0.813,0.988
dan,11,0.825,0.849,0.803,0.987
dan,12,0.828,0.852,0.805,0.988
dan,13,0.828,0.858,0.800,0.988
dan,14,0.827,0.849,0.805,0.988
dan,15,0.826,0.847,0.805,0.988
