test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
rom,11,0.676,0.63,0.729,0.975,all,3
rom,12,0.668,0.619,0.725,0.975,all,3
rom,13,0.668,0.624,0.718,0.975,all,3
rom,14,0.68,0.633,0.734,0.975,all,3
rom,15,0.681,0.636,0.732,0.975,all,3
rom,16,0.672,0.625,0.727,0.975,all,3
rom,17,0.677,0.629,0.732,0.975,all,3
rom,18,0.675,0.628,0.731,0.975,all,3
rom,19,0.676,0.627,0.734,0.975,all,3
rom,20,0.675,0.626,0.732,0.975,all,3
por,1,0.419,0.365,0.492,0.939,all,3
por,2,0.571,0.506,0.657,0.948,all,3
por,3,0.584,0.53,0.65,0.949,all,3
por,4,0.6,0.536,0.683,0.949,all,3
por,5,0.602,0.537,0.684,0.95,all,3
por,6,0.595,0.541,0.661,0.949,all,3
por,7,0.616,0.552,0.695,0.951,all,3
por,8,0.619,0.555,0.699,0.95,all,3
por,9,0.61,0.551,0.683,0.949,all,3
por,10,0.61,0.551,0.684,0.949,all,3
por,11,0.619,0.562,0.69,0.951,all,3
por,12,0.616,0.555,0.692,0.95,all,3
por,13,0.619,0.563,0.686,0.95,all,3
por,14,0.619,0.56,0.692,0.95,all,3
por,15,0.622,0.562,0.695,0.95,all,3
por,16,0.615,0.556,0.688,0.951,all,3
por,17,0.621,0.561,0.695,0.951,all,3
por,18,0.614,0.555,0.688,0.951,all,3
por,19,0.622,0.56,0.699,0.951,all,3
por,20,0.614,0.554,0.69,0.95,all,3
ger,1,0.553,0.491,0.632,0.948,all,1
ger,2,0.623,0.548,0.721,0.952,all,1
ger,3,0.637,0.594,0.688,0.954,all,1
ger,4,0.644,0.573,0.736,0.954,all,1
ger,5,0.663,0.591,0.755,0.956,all,1
ger,6,0.667,0.625,0.715,0.957,all,1
ger,7,0.69,0.624,0.771,0.959,all,1
ger,8,0.664,0.611,0.726,0.957,all,1
ger,9,0.687,0.634,0.75,0.959,all,1
ger,10,0.693,0.63,0.769,0.96,all,1
ger,11,0.681,0.632,0.74,0.959,all,1
ger,12,0.706,0.655,0.767,0.96,all,1
ger,13,0.703,0.65,0.765,0.961,all,1
ger,14,0.702,0.646,0.769,0.961,all,1
ger,15,0.699,0.646,0.761,0.96,all,1
ger,16,0.704,0.65,0.769,0.961,all,1
ger,17,0.69,0.638,0.751,0.96,all,1
ger,18,0.697,0.644,0.759,0.961,all,1
ger,19,0.695,0.64,0.761,0.961,all,1
ger,20,0.703,0.645,0.773,0.961,all,1
chi,1,0.381,0.317,0.478,0.92,all,5
chi,2,0.564,0.496,0.653,0.935,all,5
chi,3,0.609,0.573,0.651,0.943,all,5
chi,4,0.601,0.533,0.689,0.938,all,5
chi,5,0.588,0.519,0.68,0.932,all,5
chi,6,0.64,0.604,0.681,0.946,all,5
chi,7,0.633,0.575,0.705,0.943,all,5
chi,8,0.629,0.58,0.687,0.94,all,5
chi,9,0.647,0.596,0.709,0.946,all,5
chi,10,0.646,0.597,0.704,0.945,all,5
chi,11,0.643,0.594,0.7,0.945,all,5
chi,12,0.643,0.597,0.696,0.947,all,5
chi,13,0.632,0.579,0.694,0.944,all,5
chi,14,0.638,0.583,0.705,0.945,all,5
chi,15,0.647,0.596,0.708,0.946,all,5
chi,16,0.642,0.586,0.709,0.944,all,5
chi,17,0.645,0.6,0.697,0.945,all,5
chi,18,0.64,0.59,0.7,0.945,all,5
chi,19,0.642,0.588,0.706,0.944,all,5
chi,20,0.638,0.584,0.704,0.944,all,5
hrv,1,0.578,0.505,0.676,0.952,all,2
hrv,2,0.644,0.567,0.745,0.955,all,2
hrv,3,0.7,0.636,0.778,0.961,all,2
hrv,4,0.698,0.631,0.782,0.961,all,2
hrv,5,0.695,0.626,0.781,0.96,all,2
hrv,6,0.72,0.66,0.792,0.965,all,2
hrv,7,0.713,0.644,0.8,0.962,all,2
hrv,8,0.701,0.633,0.786,0.959,all,2
hrv,9,0.728,0.658,0.814,0.964,all,2
hrv,10,0.726,0.657,0.811,0.963,all,2
hrv,11,0.723,0.658,0.801,0.963,all,2
hrv,12,0.725,0.657,0.811,0.964,all,2
hrv,13,0.715,0.646,0.801,0.962,all,2
hrv,14,0.713,0.642,0.801,0.961,all,2
hrv,15,0.725,0.659,0.806,0.963,all,2
hrv,16,0.724,0.655,0.811,0.963,all,2
hrv,17,0.716,0.647,0.803,0.962,all,2
hrv,18,0.719,0.649,0.806,0.961,all,2
hrv,19,0.709,0.636,0.801,0.96,all,2
hrv,20,0.718,0.645,0.809,0.961,all,2
srb,1,0.599,0.53,0.688,0.945,all,2
srb,2,0.653,0.581,0.746,0.948,all,2
srb,3,0.714,0.659,0.78,0.956,all,2
srb,4,0.7,0.64,0.774,0.955,all,2
srb,5,0.711,0.649,0.787,0.956,all,2
srb,6,0.722,0.67,0.782,0.958,all,2
srb,7,0.725,0.662,0.802,0.957,all,2
srb,8,0.713,0.652,0.787,0.954,all,2
srb,9,0.725,0.667,0.795,0.957,all,2
srb,10,0.731,0.669,0.806,0.956,all,2
srb,11,0.722,0.665,0.79,0.956,all,2
srb,12,0.73,0.67,0.801,0.957,all,2
srb,13,0.73,0.673,0.798,0.956,all,2
srb,14,0.728,0.67,0.798,0.956,all,2
srb,15,0.729,0.672,0.797,0.957,all,2
srb,16,0.729,0.671,0.797,0.956,all,2
